Codigo_competicion;Codigo_fase;Codigo_grupo;Jornada;Partido;Codigo_equipo1;Codigo_equipo2;Resultado1;Resultado2;Codigo_campo;Fecha;Hora;Programado;Estado;Nombre_temporada;Nombre_competicion;Nombre_fase;Nombre_grupo;Nombre_deporte;Nombre_categoria;Nombre_jornada;Equipo_local;Equipo_visitante;Campo;Sexo_grupo;Distrito;SISTEMA_COMPETICION;COORD_X_CAMPO;COORD_Y_CAMPO
8947;9890;27927;13;3;178999;179189;5;1;85;2026-02-07;12:00;1;F;2025/2026;46 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 46 JDM;JDM LAT SAB MAÑ FS SEN MAS;futsal;SENIOR MASCULINO;13;DISTRITO 19;SEÑORES LOBO;Centro Deportivo Municipal Aluche;M;Latina;LIGA;-3.772203;40.383207
8947;9890;27927;13;2;178020;178603;3;1;85;2026-02-07;11:00;1;F;2025/2026;46 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 46 JDM;JDM LAT SAB MAÑ FS SEN MAS;futsal;SENIOR MASCULINO;13;INTER DE MADRID FS;RACING BELLADONA;Centro Deportivo Municipal Aluche;M;Latina;LIGA;-3.772203;40.383207
8947;9890;27927;13;1;178138;178152;6;0;85;2026-02-07;10:00;1;N;2025/2026;46 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 46 JDM;JDM LAT SAB MAÑ FS SEN MAS;futsal;SENIOR MASCULINO;13;PANCETA F.C.;WHITELIONS FC;Centro Deportivo Municipal Aluche;M;Latina;LIGA;-3.772203;40.383207
8947;9890;27927;2;3;179189;178999;3;4;85;2025-10-25;12:00;1;F;2025/2026;46 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 46 JDM;JDM LAT SAB MAÑ FS SEN MAS;futsal;SENIOR MASCULINO;2;SEÑORES LOBO;DISTRITO 19;Centro Deportivo Municipal Aluche;M;Latina;LIGA;-3.772203;40.383207
8947;9890;27927;2;2;178152;178138;12;2;85;2025-10-25;11:00;1;F;2025/2026;46 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 46 JDM;JDM LAT SAB MAÑ FS SEN MAS;futsal;SENIOR MASCULINO;2;WHITELIONS FC;PANCETA F.C.;Centro Deportivo Municipal Aluche;M;Latina;LIGA;-3.772203;40.383207
8947;9890;27927;2;1;178603;178020;0;2;85;2025-10-25;10:00;1;F;2025/2026;46 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 46 JDM;JDM LAT SAB MAÑ FS SEN MAS;futsal;SENIOR MASCULINO;2;RACING BELLADONA;INTER DE MADRID FS;Centro Deportivo Municipal Aluche;M;Latina;LIGA;-3.772203;40.383207
8947;9890;27927;1;3;178347;179109;1;2;85;2025-10-18;12:00;1;F;2025/2026;46 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 46 JDM;JDM LAT SAB MAÑ FS SEN MAS;futsal;SENIOR MASCULINO;1;CHICHOS;SXV7NFFOX ;Centro Deportivo Municipal Aluche;M;Latina;LIGA;-3.772203;40.383207
8947;9890;27927;1;2;178358;179017;0;4;85;2025-10-18;11:00;1;F;2025/2026;46 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 46 JDM;JDM LAT SAB MAÑ FS SEN MAS;futsal;SENIOR MASCULINO;1;CD ALMIRANTES;U.D. SPARTA DE MADRID ;Centro Deportivo Municipal Aluche;M;Latina;LIGA;-3.772203;40.383207
8947;9890;27927;1;1;178579;178152;2;7;85;2025-10-18;10:00;1;F;2025/2026;46 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 46 JDM;JDM LAT SAB MAÑ FS SEN MAS;futsal;SENIOR MASCULINO;1;BORRA- CHUZOS;WHITELIONS FC;Centro Deportivo Municipal Aluche;M;Latina;LIGA;-3.772203;40.383207
8947;9890;27927;6;3;179017;178138;17;0;85;2025-11-29;12:00;1;F;2025/2026;46 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 46 JDM;JDM LAT SAB MAÑ FS SEN MAS;futsal;SENIOR MASCULINO;6;U.D. SPARTA DE MADRID ;PANCETA F.C.;Centro Deportivo Municipal Aluche;M;Latina;LIGA;-3.772203;40.383207
8947;9890;27927;6;2;179109;178603;10;0;85;2025-11-29;11:00;1;F;2025/2026;46 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 46 JDM;JDM LAT SAB MAÑ FS SEN MAS;futsal;SENIOR MASCULINO;6;SXV7NFFOX ;RACING BELLADONA;Centro Deportivo Municipal Aluche;M;Latina;LIGA;-3.772203;40.383207
8947;9890;27927;6;1;178347;177863;2;4;85;2025-11-29;10:00;1;F;2025/2026;46 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 46 JDM;JDM LAT SAB MAÑ FS SEN MAS;futsal;SENIOR MASCULINO;6;CHICHOS;COSTA RICA Z;Centro Deportivo Municipal Aluche;M;Latina;LIGA;-3.772203;40.383207
