Codigo_temporada,Codigo_competicion,Codigo_fase,Codigo_grupo,Jornada,Partido,Codigo_equipo1,Codigo_equipo2,Resultado1,Resultado2,Codigo_campo,Fecha,Hora,Programado,Estado,Nombre_temporada,Nombre_competicion,Nombre_fase,Nombre_grupo,Nombre_deporte,Nombre_categoria,Nombre_jornada,Equipo_local,Equipo_visitante,Campo,Sexo_grupo,Distrito,Observaciones,SISTEMA_COMPETICION,COORD_X_CAMPO,COORD_Y_CAMPO,Color_Camiseta_1,Color_Camiseta_2
2025,8947,9890,27927,13,3,178999,179189,5,1,85,2026-02-07,12:00,1,f,2025/2026,46 juegos deportivos municipales,fase grupo 46 jdm,jdm lat sab mañ fs sen mas,futbol sala,senior masculino,13,distrito 19,señores lobo,polideportiva 9 aluche,m,latina,,liga,-3.772203,40.383207,rosa,amarillo
2025,8947,9890,27927,13,2,178020,178603,3,1,85,2026-02-07,11:00,1,f,2025/2026,46 juegos deportivos municipales,fase grupo 46 jdm,jdm lat sab mañ fs sen mas,futbol sala,senior masculino,13,inter de madrid fs,racing belladona,polideportiva 9 aluche,m,latina,,liga,-3.772203,40.383207,azul oscura,verde
2025,8947,9890,27927,13,1,178138,178152,6,0,85,2026-02-07,10:00,1,n,2025/2026,46 juegos deportivos municipales,fase grupo 46 jdm,jdm lat sab mañ fs sen mas,futbol sala,senior masculino,13,panceta f.c.,whitelions fc,polideportiva 9 aluche,m,latina,,liga,-3.772203,40.383207,naranja,negra
2025,8947,9890,27927,2,3,179189,178999,3,4,85,2025-10-25,12:00,1,f,2025/2026,46 juegos deportivos municipales,fase grupo 46 jdm,jdm lat sab mañ fs sen mas,futbol sala,senior masculino,2,señores lobo,distrito 19,polideportiva 9 aluche,m,latina,,liga,-3.772203,40.383207,amarillo,rosa
2025,8947,9890,27927,2,2,178152,178138,12,2,85,2025-10-25,11:00,1,f,2025/2026,46 juegos deportivos municipales,fase grupo 46 jdm,jdm lat sab mañ fs sen mas,futbol sala,senior masculino,2,whitelions fc,panceta f.c.,polideportiva 9 aluche,m,latina,,liga,-3.772203,40.383207,negra,naranja
2025,8947,9890,27927,2,1,178603,178020,0,2,85,2025-10-25,10:00,1,f,2025/2026,46 juegos deportivos municipales,fase grupo 46 jdm,jdm lat sab mañ fs sen mas,futbol sala,senior masculino,2,racing belladona,inter de madrid fs,polideportiva 9 aluche,m,latina,,liga,-3.772203,40.383207,verde,azul oscura
2025,8947,9890,27927,1,3,178347,179109,1,2,85,2025-10-18,12:00,1,f,2025/2026,46 juegos deportivos municipales,fase grupo 46 jdm,jdm lat sab mañ fs sen mas,futbol sala,senior masculino,1,chichos,sxv7nffox,polideportiva 9 aluche,m,latina,,liga,-3.772203,40.383207,azul oscuro,blanca
2025,8947,9890,27927,1,2,178358,179017,0,4,85,2025-10-18,11:00,1,f,2025/2026,46 juegos deportivos municipales,fase grupo 46 jdm,jdm lat sab mañ fs sen mas,futbol sala,senior masculino,1,cd almirantes,u.d. sparta de madrid,polideportiva 9 aluche,m,latina,,liga,-3.772203,40.383207,naranja,blanca
2025,8947,9890,27927,1,1,178579,178152,2,7,85,2025-10-18,10:00,1,f,2025/2026,46 juegos deportivos municipales,fase grupo 46 jdm,jdm lat sab mañ fs sen mas,futbol sala,senior masculino,1,borra- chuzos,whitelions fc,polideportiva 9 aluche,m,latina,,liga,-3.772203,40.383207,franjas blanco y negro,negra
2025,8947,9890,27927,6,3,179017,178138,17,0,85,2025-11-29,12:00,1,f,2025/2026,46 juegos deportivos municipales,fase grupo 46 jdm,jdm lat sab mañ fs sen mas,futbol sala,senior masculino,6,u.d. sparta de madrid,panceta f.c.,polideportiva 9 aluche,m,latina,,liga,-3.772203,40.383207,blanca,naranja
2025,8947,9890,27927,6,2,179109,178603,10,0,85,2025-11-29,11:00,1,f,2025/2026,46 juegos deportivos municipales,fase grupo 46 jdm,jdm lat sab mañ fs sen mas,futbol sala,senior masculino,6,sxv7nffox,racing belladona,polideportiva 9 aluche,m,latina,,liga,-3.772203,40.383207,blanca,verde
2025,8947,9890,27927,6,1,178347,177863,2,4,85,2025-11-29,10:00,1,f,2025/2026,46 juegos deportivos municipales,fase grupo 46 jdm,jdm lat sab mañ fs sen mas,futbol sala,senior masculino,6,chichos,costa rica z,polideportiva 9 aluche,m,latina,,liga,-3.772203,40.383207,azul oscuro,blanco
2025,8947,9890,27927,5,5,178347,178152,7,1,85,2025-11-22,14:00,1,f,2025/2026,46 juegos deportivos municipales,fase grupo 46 jdm,jdm lat sab mañ fs sen mas,futbol sala,senior masculino,5,chichos,whitelions fc,polideportiva 9 aluche,m,latina,,liga,-3.772203,40.383207,azul oscuro,negra
2025,8947,9890,27927,5,4,178020,179017,2,5,85,2025-11-22,13:00,1,f,2025/2026,46 juegos deportivos municipales,fase grupo 46 jdm,jdm lat sab mañ fs sen mas,futbol sala,senior masculino,5,inter de madrid fs,u.d. sparta de madrid,polideportiva 9 aluche,m,latina,,liga,-3.772203,40.383207,azul oscura,blanca
2025,8947,9890,27927,5,3,178999,178579,2,0,85,2025-11-22,12:00,1,f,2025/2026,46 juegos deportivos municipales,fase grupo 46 jdm,jdm lat sab mañ fs sen mas,futbol sala,senior masculino,5,distrito 19,borra- chuzos,polideportiva 9 aluche,m,latina,,liga,-3.772203,40.383207,rosa,franjas blanco y negro
2025,8947,9890,27927,5,2,177863,178358,4,1,85,2025-11-22,10:00,1,f,2025/2026,46 juegos deportivos municipales,fase grupo 46 jdm,jdm lat sab mañ fs sen mas,futbol sala,senior masculino,5,costa rica z,cd almirantes,polideportiva 9 aluche,m,latina,,liga,-3.772203,40.383207,blanco,naranja
2025,8947,9890,27927,5,1,178138,179109,0,8,85,2025-11-22,11:00,1,f,2025/2026,46 juegos deportivos municipales,fase grupo 46 jdm,jdm lat sab mañ fs sen mas,futbol sala,senior masculino,5,panceta f.c.,sxv7nffox,polideportiva 9 aluche,m,latina,,liga,-3.772203,40.383207,naranja,blanca
2025,8947,9890,27927,4,4,178152,178603,4,0,85,2025-11-15,13:00,1,f,2025/2026,46 juegos deportivos municipales,fase grupo 46 jdm,jdm lat sab mañ fs sen mas,futbol sala,senior masculino,4,whitelions fc,racing belladona,polideportiva 9 aluche,m,latina,,liga,-3.772203,40.383207,negra,verde
