Codigo_grupo,Jornada,Partido,Codigo_equipo1,Codigo_equipo2,Resultado1,Resultado2,Codigo_campo,Fecha_Hora,Programado,Estado,Nombre_temporada,Nombre_fase,Nombre_grupo,Nombre_deporte,Deporte_ID,Nombre_categoria,Equipo_local,Equipo_visitante,Campo,Sexo_grupo,Distrito,Distrito_ID,SISTEMA_COMPETICION,COORD_X_CAMPO,COORD_Y_CAMPO
1,1,1,98274,98027,0,0,586,2014-11-15T10:00:00Z,1,finalizado,2014/2015,JDM GRUPO,PREBENJAMIN,futsal,Q171401,PREBENJAMIN,MARIA VIRGEN,I. LAS TABLAS,Cз MARIA VIRGEN:EXT:FS:1,X,Chamartín,Q1766348,LIGA,44187655,447877847
1,1,2,97484,97622,0,0,674,2014-11-15T10:00:00Z,1,finalizado,2014/2015,JDM GRUPO,PREBENJAMIN,futsal,Q171401,PREBENJAMIN,PARAISO SSCC,SPINOLA- B,Cз PARAISO SSCC:EXT:FS:1,X,Chamartín,Q1766348,LIGA,44198490,447894438
1,1,3,97815,97621,0,0,589,2014-11-15T13:00:00Z,1,finalizado,2014/2015,JDM GRUPO,PREBENJAMIN,futsal,Q171401,PREBENJAMIN,SAN RAMON  - B,SPINOLA  A,Cз S.RAMON Y S.ANTONIO:EXT:FS:1,X,Chamartín,Q1766348,LIGA,44254268,447814433
1,1,5,97814,96551,0,0,589,2014-11-15T12:00:00Z,1,finalizado,2014/2015,JDM GRUPO,PREBENJAMIN,futsal,Q171401,PREBENJAMIN,SAN RAMON - A,PILARISTAS,Cз S.RAMON Y S.ANTONIO:EXT:FS:1,X,Chamartín,Q1766348,LIGA,44254268,447814433
1,2,1,96551,97815,0,0,511,2014-11-22T11:00:00Z,1,finalizado,2014/2015,JDM GRUPO,PREBENJAMIN,futsal,Q171401,PREBENJAMIN,PILARISTAS,SAN RAMON  - B,IB PADRE CLARET:EXT:FS:1/VERDE,X,Chamartín,Q1766348,LIGA,44378822,447808221
1,2,2,97622,97814,0,0,1784,2014-11-22T12:00:00Z,1,finalizado,2014/2015,JDM GRUPO,PREBENJAMIN,futsal,Q171401,PREBENJAMIN,SPINOLA- B,SAN RAMON - A,Cз CARD.M.SPINOLA:EXT.FS,X,Chamartín,Q1766348,LIGA,44316543,448008240
1,2,3,97621,98027,0,0,1784,2014-11-22T13:00:00Z,1,finalizado,2014/2015,JDM GRUPO,PREBENJAMIN,futsal,Q171401,PREBENJAMIN,SPINOLA  A,I. LAS TABLAS,Cз CARD.M.SPINOLA:EXT.FS,X,Chamartín,Q1766348,LIGA,44316543,448008240
1,2,5,97669,98274,0,0,511,2014-11-22T12:00:00Z,1,finalizado,2014/2015,JDM GRUPO,PREBENJAMIN,futsal,Q171401,PREBENJAMIN,R. MAEZTU,MARIA VIRGEN,IB PADRE CLARET:EXT:FS:1/VERDE,X,Chamartín,Q1766348,LIGA,44378822,447808221
1,3,1,97814,97484,0,0,589,2014-11-29T13:00:00Z,1,finalizado,2014/2015,JDM GRUPO,PREBENJAMIN,futsal,Q171401,PREBENJAMIN,SAN RAMON - A,PARAISO SSCC,Cз S.RAMON Y S.ANTONIO:EXT:FS:1,X,Chamartín,Q1766348,LIGA,44254268,447814433
1,3,2,98274,96551,0,0,586,2014-11-29T12:00:00Z,1,finalizado,2014/2015,JDM GRUPO,PREBENJAMIN,futsal,Q171401,PREBENJAMIN,MARIA VIRGEN,PILARISTAS,Cз MARIA VIRGEN:EXT:FS:1,X,Chamartín,Q1766348,LIGA,44187655,447877847
1,3,3,97622,97669,0,0,1784,2014-11-29T13:00:00Z,1,finalizado,2014/2015,JDM GRUPO,PREBENJAMIN,futsal,Q171401,PREBENJAMIN,SPINOLA- B,R. MAEZTU,Cз CARD.M.SPINOLA:EXT.FS,X,Chamartín,Q1766348,LIGA,44316543,448008240
1,3,4,98027,97815,0,0,589,2014-11-29T14:00:00Z,1,finalizado,2014/2015,JDM GRUPO,PREBENJAMIN,futsal,Q171401,PREBENJAMIN,I. LAS TABLAS,SAN RAMON  - B,Cз S.RAMON Y S.ANTONIO:EXT:FS:1,X,Chamartín,Q1766348,LIGA,44254268,447814433
1,4,1,97484,97621,0,0,674,2014-12-13T12:00:00Z,1,finalizado,2014/2015,JDM GRUPO,PREBENJAMIN,futsal,Q171401,PREBENJAMIN,PARAISO SSCC,SPINOLA  A,Cз PARAISO SSCC:EXT:FS:1,X,Chamartín,Q1766348,LIGA,44198490,447894438
1,4,3,96551,98027,0,0,511,2014-12-13T12:00:00Z,1,finalizado,2014/2015,JDM GRUPO,PREBENJAMIN,futsal,Q171401,PREBENJAMIN,PILARISTAS,I. LAS TABLAS,IB PADRE CLARET:EXT:FS:1/VERDE,X,Chamartín,Q1766348,LIGA,44378822,447808221
1,4,4,97669,97814,0,0,502,2014-12-20T11:00:00Z,1,finalizado,2014/2015,JDM GRUPO,PREBENJAMIN,futsal,Q171401,PREBENJAMIN,R. MAEZTU,SAN RAMON - A,CDM PRADILLO:EXT:FS:1,X,Chamartín,Q1766348,LIGA,44315842,447803025
1,4,5,98274,97622,0,0,586,2014-12-13T12:00:00Z,1,finalizado,2014/2015,JDM GRUPO,PREBENJAMIN,futsal,Q171401,PREBENJAMIN,MARIA VIRGEN,SPINOLA- B,Cз MARIA VIRGEN:EXT:FS:1,X,Chamartín,Q1766348,LIGA,44187655,447877847
1,5,1,96551,97669,0,0,505,2015-01-31T11:00:00Z,1,finalizado,2014/2015,JDM GRUPO,PREBENJAMIN,futsal,Q171401,PREBENJAMIN,PILARISTAS,R. MAEZTU,IB ROSA JARDON:EXT:FS:1,X,Chamartín,Q1766348,LIGA,44340522,447984547
1,5,3,97814,98274,0,0,589,2015-01-31T13:00:00Z,1,finalizado,2014/2015,JDM GRUPO,PREBENJAMIN,futsal,Q171401,PREBENJAMIN,SAN RAMON - A,MARIA VIRGEN,Cз S.RAMON Y S.ANTONIO:EXT:FS:1,X,Chamartín,Q1766348,LIGA,44254268,447814433
1,5,4,97621,97622,0,0,1784,2015-01-31T12:00:00Z,1,finalizado,2014/2015,JDM GRUPO,PREBENJAMIN,futsal,Q171401,PREBENJAMIN,SPINOLA  A,SPINOLA- B,Cз CARD.M.SPINOLA:EXT.FS,X,Chamartín,Q1766348,LIGA,44316543,448008240
1,5,5,97815,97484,0,0,589,2015-01-31T12:00:00Z,1,finalizado,2014/2015,JDM GRUPO,PREBENJAMIN,futsal,Q171401,PREBENJAMIN,SAN RAMON  - B,PARAISO SSCC,Cз S.RAMON Y S.ANTONIO:EXT:FS:1,X,Chamartín,Q1766348,LIGA,44254268,447814433
1,6,1,97622,98027,0,0,1784,2015-01-10T10:00:00Z,1,finalizado,2014/2015,JDM GRUPO,PREBENJAMIN,futsal,Q171401,PREBENJAMIN,SPINOLA- B,I. LAS TABLAS,Cз CARD.M.SPINOLA:EXT.FS,X,Chamartín,Q1766348,LIGA,44316543,448008240
1,6,2,97484,98274,0,0,674,2015-01-10T09:00:00Z,1,finalizado,2014/2015,JDM GRUPO,PREBENJAMIN,futsal,Q171401,PREBENJAMIN,PARAISO SSCC,MARIA VIRGEN,Cз PARAISO SSCC:EXT:FS:1,X,Chamartín,Q1766348,LIGA,44198490,447894438
1,6,4,97814,97621,0,0,589,2015-01-10T14:00:00Z,1,finalizado,2014/2015,JDM GRUPO,PREBENJAMIN,futsal,Q171401,PREBENJAMIN,SAN RAMON - A,SPINOLA  A,Cз S.RAMON Y S.ANTONIO:EXT:FS:1,X,Chamartín,Q1766348,LIGA,44254268,447814433
1,6,5,97669,97815,0,0,511,2015-01-10T12:00:00Z,1,finalizado,2014/2015,JDM GRUPO,PREBENJAMIN,futsal,Q171401,PREBENJAMIN,R. MAEZTU,SAN RAMON  - B,IB PADRE CLARET:EXT:FS:1/VERDE,X,Chamartín,Q1766348,LIGA,44378822,447808221
1,7,1,97815,97814,0,0,589,2015-01-17T11:00:00Z,1,finalizado,2014/2015,JDM GRUPO,PREBENJAMIN,futsal,Q171401,PREBENJAMIN,SAN RAMON  - B,SAN RAMON - A,Cз S.RAMON Y S.ANTONIO:EXT:FS:1,X,Chamartín,Q1766348,LIGA,44254268,447814433
1,7,2,97621,97669,0,0,1784,2015-01-17T10:00:00Z,1,finalizado,2014/2015,JDM GRUPO,PREBENJAMIN,futsal,Q171401,PREBENJAMIN,SPINOLA  A,R. MAEZTU,Cз CARD.M.SPINOLA:EXT.FS,X,Chamartín,Q1766348,LIGA,44316543,448008240
1,7,4,96551,97622,0,0,1784,2015-01-17T11:00:00Z,1,finalizado,2014/2015,JDM GRUPO,PREBENJAMIN,futsal,Q171401,PREBENJAMIN,PILARISTAS,SPINOLA- B,Cз CARD.M.SPINOLA:EXT.FS,X,Chamartín,Q1766348,LIGA,44316543,448008240
1,7,5,98027,97484,0,0,508,2015-01-17T10:00:00Z,1,finalizado,2014/2015,JDM GRUPO,PREBENJAMIN,futsal,Q171401,PREBENJAMIN,I. LAS TABLAS,PARAISO SSCC,IB IBM:EXT:FS:1,X,Chamartín,Q1766348,LIGA,44371444,447743532
1,8,1,98274,97621,0,0,586,2015-01-24T11:00:00Z,1,finalizado,2014/2015,JDM GRUPO,PREBENJAMIN,futsal,Q171401,PREBENJAMIN,MARIA VIRGEN,SPINOLA  A,Cз MARIA VIRGEN:EXT:FS:1,X,Chamartín,Q1766348,LIGA,44187655,447877847
